Customer Query,Order Code,Description
MCCB.ACC AUX SW (1500A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (125A ~ 250A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (1250A),1SDA104786R1,AUX-C 1Q + 1SY L 24V DC XT5 F/P 
MCCB.ACC AUX SW (100A AND BELOW),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (1000A),1SDA073750R1,AUX 4Q 400V E1.2-XT7-XT7M 
MCB.ACC SHUNT TRIP (80A ~ 100A),2CDS200909R0002,S2C-A2 Shunt Trip110VAC?415VAC. 110VDC?250VDC
MCB  C80A  4P  10KA,2TAZ190400R0804,SH804-C80
MCB  B80A  4P  10KA,2TAZ190400R0805,SH804-B80
MCB  B80A  3P  10KA,2TAZ190300R0805,SH803-B80
MCB  B63A  4P  10KA,2CDS274001R0635,S204M-B63
MCB  B63A  3P  10KA,2CDS273001R0635,S203M-B63
MCB  B63A  2P  10KA,2CDS272001R0635,S202M-B63
MCB  B63A  1P  10KA,2CDS271001R0635,S201M-B63
MCB  B40A  4P  10KA,2CDS274001R0405,S204M-B40
MCB  B40A  3P  10KA,2CDS273001R0405,S203M-B40
MCB  B40A  2P  10KA,2CDS272001R0405,S202M-B40
MCB  B40A  1P  10KA,2CDS271001R0405,S201M-B40
MCB  B32A  4P  10KA,2CDS274001R0325,S204M-B32 4Pole 32A B-curve MCB Icn 10kA Icu 15kA 
MCB  B32A  3P  10KA,2CDS273001R0325,S203M-B32
MCB  B32A  2P  10KA,2CDS272001R0325,S202M-B32
MCB  B32A  1P  10KA,2CDS271001R0325,S201M-B32
MCB  B20A  3P  10KA,2CDS273001R0205,S203M-B20
MCB  B20A  2P  10KA,2CDS272001R0205,S202M-B20
MCB  B20A  1P  6KA,2CDS251001R0205,S201-B20
MCB  B20A  1P  10KA,2CDS271001R0205,S201M-B20
MCB  B16A  1P  10KA,2CDS271001R0165,S201M-B16
MCB  B10A  1P  6KA,2CDS251001R0105,S201-B10
MCB  B10A  1P  10KA,2CDS271001R0105,S201M-B10
MCB  B100A  4P  10KA,2TAZ190400R0825,SH804-B100
MCB  B100A  3P  10KA (FOR SA),2TAZ190300R0825,SH803-B100
MCB  B100A  3P  10KA,2TAZ190300R0825,SH803-B100
MCB  B100A  2P  10KA,2TAZ190200R0825,SH802-B100
MCB  B100A  1P  10KA,2TAZ190100R0825,SH801-B100
MCB  B 6A  1P  6KA,2CDS251001R0065,S201-B6
MCB  B 6A  1P  10KA,2CDS271001R0065,S201M-B6
MCB.ACC SHUNT TRIP (63A AND BELOW),2CDS200909R0002,S2C-A2 Shunt Trip110VAC?415VAC. 110VDC?250VDC
RCCB  80A  4P  30MA,2CSF204005R1800,"F204 AC-80/0,0380A 4pole RCCB 30mA sensitivity"
RCCB  80A  4P  300MA,2CSF204005R3800,"F204 AC-80/0,3 80A 4pole RCCB 300mA sensitivity"
RCCB  80A  4P  100MA,2CSF204005R2800,"F204 AC-80/0,180A 4pole RCCB 100mA sensitivity"
RCCB  63A  4P  30MA,2CSF204005R1630,"F204 AC-63/0,0363A 4pole RCCB 30mA sensitivity"
RCCB  63A  4P  300MA,2CSF204005R3630,"F204 AC-63/0,363A 4pole RCCB 300mA sensitivity"
RCCB  63A  4P  100MA,2CSF204005R2630,"F204 AC-63/0,1 63A 4pole RCCB 100mA sensitivity"
RCCB  63A  2P  30MA,2CSF202005R1630,"F202 AC-63/0,03 "
RCCB  63A  2P  100MA,2CSF202005R2630,"F202 AC-63/0,1"
RCCB  40A  4P  30MA,2CSF204005R1400,"F204 AC-40/0,03 "
RCCB  40A  4P  300MA,2CSF204005R3400,"F204 AC-40/0,340A 4pole RCCB 300mA sensitivity"
RCCB  40A  4P  100MA,2CSF204005R2400,"F204 AC-40/0,1 40A 4pole RCCB 100mA sensitivity"
RCCB  40A  2P  30MA,2CSF202005R1400,"F202 AC-40/0,03 "
RCCB  40A  2P  100MA,2CSF202005R2400,"F202 AC-40/0,1"
RCCB  100A  4P  300MA,2CSF204005R3900,"F204 AC-100/0,3100A 4pole RCCB 300mA sensitivity"
RCCB  100A  4P  100MA,2CSF204005R2900,"F204 AC-100/0,1 100A 4pole RCCB 100mA sensitivity"
RCCB  100A  2P  30MA,2CSF202005R1900,"F202 AC-100/0,03"
RCCB  100A  2P  100MA,2CSF202005R2900,"F202 AC-100/0,1 "
LOAD BREAK SWITCH 4P 2500A,1SCA105140R1001,OT2500E04P
LOAD BREAK SWITCH 4P 1600A,1SCA022860R6740,OT1600E04P
LOAD BREAK SWITCH 4P 1250A,1SCA022860R6310,OT1250E04P
ISOLATOR 4P 80A  ,1SCA105418R1001,OT80F4C
ISOLATOR 4P 63A ,2CDD274111R0063,SHD204/63 Switch Disconnector
ISOLATOR 4P 32A ,2CDD274111R0032,SHD204/32 Switch Disconnector
ISOLATOR 4P 100A ,1SCA105019R1001,OT100F4C
ISOLATOR 2P 100A ,1SCA105004R1001,OT100F3
ISOLATOR 2P  63A ,2CDD272111R0063,SHD202/63 Switch Disconnector
ISOLATOR 2P  32A ,2CDD272111R0032,SHD202/32 Switch Disconnector
ISOLATOR 1P  16A ,2CDD271111R0016,SHD201/16 Switch Disconnector
"CONTACTOR MINI TYPE CONTACTOR 4P, 20A",GJL1313201R0005,BC7-40-00-05 Mini Contactor
"CONTACTOR MINI TYPE CONTACTOR 3P, 20A",GJL1313001R0105,BC7-30-10-05 Mini Contactor
SURGE ARRESTER T2 3+N 40KA,2CTB803973R0500,OVR T2 3N 40-275 P TS QS Type 2 T2 OVR Imax 40kA TT 230/400VAC 3Ph+N networks with EOL Alarm contact
SURGE ARRESTER T1+2 3+N  100KA,2CTB812111R2300,OVR T1-T2 3N 100-255 P TS
MCCB 36KA 4P (LSI) 250A,1SDA068157R1,XT4N 250 Ekip LSI In=250A 4p F F
ACB 800A  (3s) 65KA 4P,1SDA072894R1,E2.2H 800 Ekip Touch LI 4p WMP
